start	end	text
330000	360000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
360000	390000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
390000	420000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
420000	450000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
450000	480000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
480000	510000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
510000	540000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
540000	570000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
570000	600000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
600000	630000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
630000	660000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
660000	690000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
690000	720000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
720000	750000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
750000	780000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
780000	810000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
810000	840000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
840000	870000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
870000	900000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
900000	930000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
930000	960000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
960000	969200	教授從訓練高中獲得出這份訓練區的至少 payload
969420	975720	大師林教練輔助 教授
976560	982800	教授
983400	985820	教授
986380	987600	教授
987600	990600	還有呢 尊敬的各位來賓
990600	993600	還有各位同學們 大家好 大家晚安
993600	994600	晚安
994600	997600	這位同學今天是非常冷
997600	999600	可是我要跟大家報告
999600	1004600	今天呢 我們的選手來邀請到一位
1004600	1007600	異常必要的神秘人物
1007600	1013600	然後呢 這個 我們從我們的黑板上面看到
1013600	1015600	陳慧琳分析師呢
1015600	1018600	她其實是在這個領域裡面
1018600	1021600	算是屬於非常有名
1021600	1025600	但是也異常神秘的一位分析師
1025600	1028600	那我要跟大家報告一件事情
1028600	1030600	我們印象中的分析師呢
1030600	1035600	可能是這個有外傷的資歷
1035600	1037600	就是一線的外傷
1037600	1038600	或者是說呢
1038600	1041600	她可能是國外或國內的領教
1041600	1043600	可是我要跟大家報告
1043600	1047600	她的整個歷程是值得我們學習的
1047600	1051600	那各位呢 可能我都有介紹我的知識
1051600	1054600	我自己本身呢 因為念大學
1054600	1055600	我是念專科
1055600	1058600	然後呢 我在大同公司工作了三四年
1058600	1060600	從一個基層的工程師
1060600	1065600	會計一路做到台中工程師的負責人對修
1065600	1067600	那一樣我要跟大家報告
1067600	1069600	這個 我們的這個分析師
1069600	1071600	我們的這個陳教授
1071600	1073600	他也是從基層做起
1073600	1075600	也是從基層做起
1075600	1077600	然後他是外資圈
1077600	1080600	奧斯卡裡面得到全國的第20
1080600	1084600	這個是屬於非常高的一個榮耀
1084600	1086600	所以他的這個歷程
1086600	1090600	絕對絕對可以值得大家去做學習
1090600	1092600	然後另外一件事情
1092600	1094600	我也要跟大家說明
1094600	1096600	那這個是這個
1096600	1098600	非常非常這個
1098600	1101600	大家要進入到這個圈圈裡面才能做什麼
1101600	1102600	我們這個分析師
1102600	1105600	他為了要瞭解這個中國的市場
1105600	1107600	他在香港度的試驗
1107600	1109600	因為你如果在這個圈圈裡面
1109600	1112600	你根本不知道他這個在圈圈裡面
1112600	1114600	有產生過很多種東西
1114600	1116600	所以我們常常知道
1116600	1120600	這個知義行難或者是知難行義
1120600	1123600	可是我要告訴大家的是
1123600	1126600	在現在的這個社會當中
1126600	1128600	其實知很難
1128600	1130600	心也是很難
1130600	1132600	可是在我們這個分析師裡面
1132600	1135600	他做到了身體力行
1135600	1137600	尤其這個身體力行
1137600	1140600	他才一直不斷的爬到這個地位
1140600	1142600	他是做三件事
1142600	1144600	各位知道哪三件事嗎
1144600	1146600	第一個努力
1146600	1148600	第二個不斷的努力
1148600	1151600	第三個一直不斷的努力
1151600	1153600	各位要知道努力不一定會成功
1153600	1155600	但是不努力一定不會成功
1155600	1157600	所以說今天這個分析師
1157600	1160600	他本身經過了這麼長的努力
1160600	1162600	也給了我們這麼好的一個專題
1162600	1164600	值得各位去學習
1164600	1167600	同時他這個人生的歷練
1167600	1170600	也同樣的來製造我們的教學
1170600	1173600	那現在就讓我們用最熱烈的掌聲
1173600	1176600	來歡迎我們的陳教授分析師
1178600	1180600	謝謝
1180600	1182600	謝謝李老師
1182600	1184600	謝謝林運走
1184600	1187600	那我要先問你
1187600	1191600	我在外資大家叫我是Eric
1202600	1204600	那個我的背包
1204600	1206600	我開始介紹一下
1206600	1209600	我在大概20年25年都在走了
1209600	1211600	就是外資介紹
1211600	1213600	那個其實很多人反映出來
1213600	1215600	很想進介紹
1215600	1216600	不想進頭
1216600	1218600	那想要開發的機會的話
1218600	1220600	也可以來到這個領域
1220600	1221600	這個產業
1221600	1222600	那今天呢
1222600	1224600	我也希望這個
1224600	1226600	不要太多設定
1226600	1227600	單拿的強項
1227600	1228600	就是在大家的研究
1228600	1230600	產業的研究
1230600	1231600	化物的領域
1231600	1232600	甚至在布魯摩
1232600	1235600	但是這部分會是我們開會的重點
1235600	1237600	但是這個重點
1237600	1239600	我覺得有更多的地方
1239600	1241600	所以是可以去做化物
1241600	1243600	因為我覺得其實
1243600	1244600	就在相互的互動
1244600	1247600	可以更抓住學生想要的問題
1247600	1250600	那這樣子對大家其實
1250600	1253600	收穫的可能會比較多
1253600	1256600	我租的市場大概已經超過15年了
1256600	1259600	那我走對的行業
1259600	1261600	我覺得走對的行業比較重要
1261600	1263600	那我在2010年的時候
1263600	1265600	去想想工作
1265600	1266600	那在金融界
1266600	1267600	只要在台灣的話
1267600	1269600	香港基本上就是很多的職業
1269600	1271600	在那邊是領多
1271600	1274600	所以我在那邊基本上就是比較多的
1274600	1276600	跟舉個例子
1276600	1277600	三英國那一支
1277600	1278600	舉個例子日本的
1278600	1280600	葡萄酒那一支
1280600	1282600	英特里那一支
1282600	1283600	那在台灣
1283600	1284600	在2011年
1284600	1286600	2017年代
1286600	1287600	到2011年
1287600	1288600	2014年
1288600	1289600	2015年
1289600	1291600	我們每年都可以兩次
1291600	1292600	超過兩次
1292600	1294600	為什麼群球要做多久
1294600	1296600	那我的客戶是什麼
1296600	1297600	都是投資
1297600	1299600	投資台積電
1299600	1300600	投資聯發科
1300600	1302600	投資工均國際
1302600	1304600	甚至投資三星的
1304600	1306600	這些法人投資人
1306600	1307600	都是我的客戶
1307600	1309600	那也因為我的客戶越少
1309600	1312600	所以基本上我的客戶
1312600	1314600	不會是一般的
1314600	1315600	個人投資人
1315600	1317600	所以我剛距離旁邊的時候
1317600	1318600	我媽曾經問我說
1318600	1320600	你跟第四台投資人
1320600	1321600	有什麼差別
1321600	1323600	我當場快點來
1323600	1324600	真的會發生
1324600	1325600	但托普老師
1325600	1327600	其實也是賺很多的
1327600	1329600	我想說從業也不一樣
1329600	1330600	托普老師基本上
1330600	1331600	不需要什麼資格
1331600	1333600	但是我們做任何事
1333600	1334600	只是數字說話
1334600	1336600	我們接觸的報紙
1336600	1338600	都是全球
1338600	1341600	全球大的機構報紙
1341600	1343600	那種金額都非常大
1343600	1345600	所以我們每個meeting
1345600	1346600	都是宅在那邊
1346600	1347600	我們每個meeting
1347600	1348600	下午的時候
1348600	1350600	其實從我們今天的
1350600	1351600	本科學PVP
1351600	1352600	大家就可以感覺到
1352600	1354600	為什麼外資分析師
1354600	1356600	有他專業的地方
1356600	1357600	因為我們所有的東西
1357600	1359600	都是到數字說話
1359600	1360600	我們所有的東西
1360600	1362600	後面有環境的基本能
1362600	1363600	來支撐
1363600	1364600	那anyway
1364600	1367600	那左下角是我的展現
1367600	1370600	那個亞元機構分析師
1370600	1372600	我們這個行業比較實話
1372600	1373600	亞元機構分析師
1373600	1374600	在市場上
1374600	1376600	是我們最標的行情
1376600	1378600	就是說你拿到什麼利益
1378600	1380600	你們試駕你的行情
1380600	1381600	就是怎麼樣
1381600	1384600	就像NBA你有帶國冠軍戒指
1384600	1386600	或你有去報到
1386600	1387600	你在市場上
1387600	1388600	你就會有不同的行情
1388600	1389600	所以各位對投行
1389600	1391600	在投行業有興趣的話
1391600	1392600	也隨時可以問我
1392600	1393600	Again
1393600	1395600	我希望今天的meeting
1395600	1398600	不是一個全學術的東西
1398600	1399600	是更多的交流
1399600	1401600	你可以從市場
1401600	1402600	從投行
1402600	1403600	可以從在香港
1403600	1405600	大概過十年的Facebook裡面
1405600	1406600	可以看到一些
1406600	1407600	可能平常你在學校
1407600	1409600	比較不會接觸的東西
1409600	1411600	那右下角這個東西
1411600	1413600	稍微介紹一下
1413600	1415600	是我們創的
1415600	1417600	臺灣金融行業的很多
1417600	1419600	臺灣的超基金
1419600	1421600	基金經理人也很多
1421600	1423600	但是我手上沒有看到一個
1423600	1425600	跟我同樣的詞
1425600	1427600	臺灣中古大陸
1427600	1428600	跟香港
1428600	1429600	都有超過幾千
1429600	1431600	而且都有執照
1431600	1433600	那我有香港歷史總號牌
1433600	1434600	那香港歷史總號牌
1434600	1435600	講簡單一點
1435600	1438600	就是所有的投行的業
1438600	1440600	包括承銷、經濟
1442600	1444600	那個advisor
1444600	1445600	consulting的事情
1445600	1446600	我這邊都可以做
1446600	1447600	所以我覺得
1447600	1448600	資歷來講的話
1448600	1450600	在這邊可以上來
1450600	1451600	Again
1451600	1453600	在產業的基地來講的話
1455600	1458600	講比較不禮貌
1458600	1461600	我覺得應該是來不及了
1463600	1464600	那今天的題目
1464600	1465600	今天題目呢
1465600	1467600	其實我在前面的時候
1467600	1469600	因為臺灣東海大學的
1469600	1471600	還是我上個禮拜
1471600	1473600	在群議證據
1473600	1474600	他們範圍了
1474600	1477600	2024年的投資論壇
1477600	1478600	掌光
1478600	1480600	然後針對高科技
1480600	1482600	就是針對群眾互聯網
1482600	1483600	做一個掌光
1483600	1484600	那我後來發現
1484600	1485600	對不對
1485600	1486600	因為那幾幾年
1486600	1488600	基本上是對外交局
1488600	1489600	是有sense的
1489600	1490600	所謂有sense就是說
1490600	1491600	其實它已經在
1491600	1493600	但這好像也看
1493600	1494600	外交局公司
1494600	1495600	外交局發展
1496600	1498600	那今天來上
1498600	1499600	我後來注意到
1499600	1500600	是同事課
1500600	1502600	其實各位已經比我
1502600	1503600	當年厲害多
1503600	1504600	我那時候
1504600	1505600	同事課在上什麼
1505600	1507600	那麼搞不清楚
1507600	1508600	不知道
1508600	1509600	但是給你們一個
1509600	1510600	因為同事課
1510600	1511600	我給我玩通了
1511600	1513600	所以我今天比較
1513600	1514600	check
1514600	1516600	我的標題就是check
1516600	1517600	比較聊聊
1517600	1518600	互動性來講
1518600	1519600	就是說
1519600	1520600	什麼的議題
1520600	1522600	各位可以注意
1522600	1523600	同學們可以注意
1523600	1524600	針對你們
1524600	1525600	針對你們未來的發展
1525600	1527600	甚至對於台灣
1527600	1528600	本身的位置
1528600	1530600	你知道台灣站在哪裡
1530600	1532600	你知道你現在進入產業
1532600	1534600	應該去哪些地方
1534600	1535600	從這個角度
1535600	1536600	我們來去討論
1536600	1537600	拜託
1537600	1538600	甚至談
1538600	1539600	整個地緣政治
1539600	1540600	美國
1540600	1541600	中國
1541600	1542600	跟台灣
1542600	1543600	在拜託你產業
1543600	1545600	跟互聯網產業
1545600	1546600	怎麼樣的競爭
1546600	1547600	跟合作美式
1547600	1548600	那again
1548600	1549600	因為我在香港
1549600	1550600	來過十年
1550600	1551600	做過黑
1551600	1552600	有很多
1552600	1553600	所以
1553600	1554600	我的東西
1554600	1555600	大概一般
1555600	1556600	在市場上
1556600	1558600	你們比較會少看到
1558600	1560600	各位所看到的每一題
1560600	1562600	都是從台灣的角度
1562600	1563600	讓我們的東西
1563600	1565600	盡量從全球的角度
1565600	1566600	就是台灣
1566600	1567600	美國
1567600	1568600	中國的角度
1568600	1569600	都去切入
1569600	1570600	那第一個
1570600	1571600	給各位
1571600	1573600	就是一個投資的概念
1573600	1574600	辦法提高很多
1574600	1575600	那最終
1575600	1576600	我從哪一個過應
1576600	1577600	讓我們做的投資
1577600	1579600	來從投資來講
1579600	1580600	給各位一個概念
1580600	1581600	過去十三年
1581600	1582600	全球
1582600	1583600	前十大
1583600	1584600	包括這個公司的
1584600	1585600	市值
1585600	1586600	成長多少
1586600	1587600	十三年
1587600	1588600	成長十倍
1589600	1590600	假設以昨天的
1590600	1591600	比價來講
1591600	1592600	的話是
1592600	1593600	超過十倍
1594600	1595600	這就是
1595600	1596600	投我股價
1596600	1597600	各位買
1597600	1598600	房子買
1598600	1599600	實在的
1599600	1600600	在台灣
1600600	1601600	已經成長那麼多
1601600	1602600	我可以跟各位報告
1602600	1603600	沒有
1603600	1604600	而且未來十年
1604600	1605600	也不會
1605600	1606600	未來十年
1606600	1607600	全球全十大
1607600	1608600	包括這個公司的
1608600	1609600	市值
1609600	1610600	市值你可以想
1610600	1611600	股票
1611600	1612600	價格的成長
1613600	1614600	跟各位報告
1614600	1615600	未來十年
1615600	1616600	一定是十倍
1616600	1617600	不用一定
1617600	1618600	為什麼不用一定
1618600	1619600	我跟
1619600	1620600	我之後跟各位報告
1620600	1621600	我想
1621600	1622600	關這個主題
1622600	1623600	應該大家就很
1623600	1624600	很impressive
1625600	1626600	那
1626600	1627600	這是事實
1627600	1628600	假設
1628600	1629600	二零一一年
1629600	1630600	我做一個
1630600	1631600	接近到
1631600	1632600	二零二三年
1632600	1633600	成長十倍
1633600	1634600	那從
1634600	1635600	二零二千年
1635600	1636600	到
1636600	1637600	二零一一年
1637600	1638600	是多少倍
1638600	1639600	跟各位報告
1639600	1640600	分線
1640600	1641600	跟加速
1642600	1643600	各位
1643600	1644600	花在手機的時間
1644600	1645600	是越來越多
1645600	1646600	比當初
1646600	1647600	所在花在配接的時間
1648600	1649600	我跟各位報告
1649600	1650600	各位未來在手機
1650600	1651600	花的時間
1651600	1652600	只會越來越多
1653600	1654600	各位在
1654600	1655600	電動車
1656600	1657600	也不會
1657600	1658600	只是在開車
1659600	1660600	更多的
1661600	1662600	應該說人機建議
1662600	1663600	應該說
1663600	1664600	更多的
1664600	1665600	跟一些
1665600	1666600	網路上
1666600	1667600	跟一些
1667600	1668600	AI
1668600	1669600	跟一些
1669600	1670600	智慧的東西
1670600	1672600	可能智能價值的東西
1672600	1673600	不應該越來越多
1673600	1674600	所以你會發現
1674600	1675600	更多的商業
1675600	1676600	越來越多
1676600	1677600	那前世大高
1677600	1678600	這些公司
1678600	1679600	大家可以注意到
1679600	1680600	假如以
1680600	1681600	二零一零年來看
1682600	1683600	二零
1683600	1684600	一零年來看
1685600	1686600	跟二零
1686600	1687600	二三年來看
1687600	1688600	各位可以注意到
1688600	1689600	前世大高
1690600	1691600	班長可以從
1691600	1692600	試試看
1692600	1693600	遠焦化
1693600	1694600	遠焦化
1694600	1695600	NVIDIA
1695600	1696600	TS24
1696600	1697600	3C
1698600	1699600	3C
1699600	1700600	固能網路
1701600	1702600	這些固能網路
1702600	1703600	就是跟Smartphone相關
1703600	1704600	所以我講
1704600	1705600	八十七年
1705600	1706600	它過去十年
1706600	1707600	高科技公司
1707600	1708600	上一輪宣傳
1708600	1709600	就是台積電
1709600	1710600	分明化這個
1710600	1711600	因為智慧型手機
1712600	1713600	Smartphone
1713600	1714600	下一個
1714600	1715600	它就越來越好
1715600	1716600	也因為智慧型手機
1717600	1718600	它們
1718600	1719600	都有一個
1719600	1720600	相同點
1721600	1722600	AO
1722600	1723600	AO的市值
1723600	1724600	全球最高
1724600	1725600	AO的市值
1725600	1726600	漲了十倍
1727600	1728600	Microsoft
1728600	1729600	漲了十倍
1730600	1731600	所以台積電
1731600	1732600	過去十三年
1732600	1734600	市值成長多
1734600	1735600	六倍多
1736600	1737600	越來越好
1738600	1739600	所以你可以查出來
1739600	1740600	它們哪些東西
1740600	1741600	未來的趨勢
1741600	1742600	大家可以注意
1742600	1743600	觀察
1743600	1744600	我們會找的
1744600	1745600	大概也是
1745600	1746600	跟這些
1746600	1747600	VIP
1747600	1748600	跟這些
1748600	1749600	電光車相關
1750600	1751600	大家注意
1751600	1752600	剩下的
1753600	1754600	在2010年
1755600	1756600	PC
1756600	1757600	PC時代早就結束了
1758600	1759600	還有一些
1759600	1760600	網路設備的東西
1761600	1762600	但是現在
1762600	1763600	Smartphone
1763600	1764600	未來就是
1764600	1765600	跟電動車相關
1766600	1767600	然後
1767600	1769600	跟AI相關
1769600	1770600	我今天
1770600	1771600	很多會講到
1771600	1772600	AI的東西
1772600	1773600	AI的東西
1773600	1774600	覺得值得
1774600	1775600	大家花時間去理解
1778600	1779600	好 再來是
1779600	1780600	我
1780600	1781600	其實我前十家
1781600	1783600	這裡要做一個手機論
1783600	1785600	我這裡要講的就是
1786600	1787600	其實
1788600	1789600	互聯網公司
1789600	1791600	我們在講高科技高科技
1791600	1793600	我們常常從台灣
1793600	1795600	是從硬體的角度去看
1795600	1797600	其實硬體的角度
1797600	1798600	在這個
1799600	1800600	高科技把互聯網
1800600	1802600	算進去的話
1802600	1804600	它的比例相對來講
1804600	1806600	是比較穩定的
1806600	1808600	時間到什麼時候
1808600	1809600	時間到什麼時候
1809600	1810600	比較沒有價值
1811600	1813600	軟體比較有價值
1813600	1814600	而且
1814600	1816600	擁有電台的價值
1816600	1817600	是更高的
1817600	1818600	那常常會是
1818600	1819600	互聯網產業
1819600	1820600	所以你們會發現到
1820600	1822600	為什麼科文科技再好
1822600	1823600	美國對中國
1823600	1824600	會那麼有能量
1824600	1825600	因為很簡單
1825600	1827600	當我看到這個chart的時候
1827600	1828600	我就會發現
1828600	1829600	全世界未來
1829600	1831600	可以跟AI較好
1831600	1832600	只有一個國家
1832600	1833600	有機會
1834600	1835600	一個喔
1835600	1836600	沒有兩個
1836600	1837600	只有一個
1837600	1838600	中國大陸
1838600	1840600	因為在AI和RT
1840600	1841600	過去
1841600	1842600	美國跟中國
1842600	1844600	在這全球
1844600	1846600	把它產生
1846600	1847600	你會發現
1847600	1849600	全球那麼多國家
1849600	1851600	日本比較跑到哪裡去了
1851600	1853600	歐洲比較跑到哪裡去了
1853600	1854600	德國比較跑到哪裡去了
1854600	1856600	為什麼80%都是
1856600	1858600	來自美國跟中國
1858600	1860600	因為互聯網產業
1860600	1861600	所以它有點投入
1861600	1862600	我丟一個數字
1862600	1864600	大家就可以感覺出來
1864600	1866600	前面有沒有看到
1866600	1868600	阿瑪羅
1868600	1870600	一年的RT
1870600	1871600	大家知道
1871600	1872600	如果實際上
1872600	1873600	碳激烈的能量
1873600	1874600	跟各位報告
1874600	1875600	可見真的能量
1875600	1877600	待會會有什麼失敗
1877600	1878600	但是阿瑪羅
1878600	1879600	一年的RT的費用
1879600	1882600	已經超過碳激烈的營收
1885600	1886600	那代表什麼
1886600	1889600	阿瑪羅它在生態系
1889600	1890600	台灣基本上
1890600	1891600	是供應鏈
1891600	1892600	供應鏈就是
1892600	1894600	一個漫意體的概念
1894600	1897600	生態系是主導的遊戲規則
1897600	1900600	就是美國這些大公司
1900600	1904600	那阿瑪羅也是有這個能力
1904600	1906600	那配群也在這邊
1906600	1908600	但是在美國一黨之後
1908600	1910600	他們可能就只能
1910600	1912600	自己玩
1912600	1913600	但是美國
1913600	1914600	它的影響力會很大
1914600	1916600	日本有國民產業
1916600	1918600	歐洲有民族產業
1918600	1919600	玻璃網產業
1919600	1921600	它永遠被討
1921600	1922600	它能發展的朋友
1922600	1924600	他們現在才能做到的問題
1924600	1927600	所以他們的影響力會很大
1927600	1930600	我這裡直接給各位的報告
1930600	1931600	就是美國跟中國
1931600	1933600	其實互聯網層
1933600	1936600	也在電腦裡面投資最大
1938600	1940600	全球前20%
1940600	1942600	有30%大概是中國大陸
1942600	1945600	大概70%大概是美國公司
1948600	1949600	好
1949600	1950600	第一個
1950600	1953600	第一個潛能的第一個形表
1953600	1955600	就是大家有一個概念
1955600	1958600	新高科技體是絕對值得大家注意
1958600	1960600	因為10年的市值
1960600	1962600	我認為就是10倍的成長
1962600	1964600	那我覺得其實會發生
1964600	1966600	那電腦跟各位聊
1966600	1968600	就是半導體對台灣的重要性
1968600	1970600	非常大
1970600	1972600	好 除非半導體有這個
1972600	1974600	我那天看了一下
1974600	1977600	大概是你之前看
1977600	1980600	大概
1980600	1984600	台灣半導體的
1984600	1988600	佔台灣的人口
1988600	1990600	大概是百分之一
1990600	1992600	一點多
1992600	1994600	還是百分之二
1994600	1995600	一點多
1995600	1996600	我記得是一點多
1996600	1998600	但是對台灣的GDP貢獻
1998600	2000600	超過20%
2000600	2002600	所以半導體的
2002600	2003600	對
2003600	2006600	半導體對台灣的貢獻也很大
2006600	2007600	就是我們
2007600	2010600	最近有聽到台灣的GDPPK
2010600	2012600	那日幣有跌
2012600	2014600	也是因為在美國的影響
2014600	2016600	是這樣日幣跌
2016600	2018600	所以台灣曾經
2018600	2019600	我有看到媒體
2019600	2022600	台灣的GDPPK
2022600	2024600	GDPPK就是
2024600	2025600	講簡單一點就是
2025600	2026600	鎖的
2026600	2028600	每個人的鎖的
2028600	2030600	超過
2030600	2031600	這個半導體
2031600	2033600	超過我們所知的夥伴
2033600	2035600	超過這些日本人
2035600	2037600	日本人
2037600	2038600	因為台灣半導體
2038600	2041600	佔整個產值的比較高
2041600	2043600	而且半導體最有可能
2043600	2045600	把台灣推向國際部態
2045600	2047600	所以台灣半導體
2047600	2049600	對於台灣的幫助是很大
2049600	2051600	這樣我們現在有很多範疇
2051600	2054600	包括今天這一場是
2054600	2056600	是中間一位朋友
2056600	2058600	西娃在他這邊錯誤的
2058600	2060600	然後他在這邊也是
2060600	2062600	藉由台灣半導體
2062600	2064600	讓全世界
2064600	2066600	其實全世界現在
2066600	2068600	要找太多合作半導體太多
2068600	2070600	台灣半導體因為台積電
2070600	2071600	因為貨物成長
2071600	2074600	因為台灣半導體這幾年的缺貨
2074600	2076600	對全世界保障
2076600	2077600	那台灣半導體的群組
2077600	2079600	大概產值就是很低了
2079600	2082600	那也對台灣的GDPPK
2082600	2084600	幫助很大
2084600	2086600	那台積電呢
